mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
intercept[13]	3.32267742188348	0.00347074294770425	0.231848857958438	2.88338360078716	3.16282053391747	3.3238371071504	3.48006815625442	3.77937422808713	4462.36429739983	1.00120837479221
intercept[14]	2.97989547195366	0.00312497305137822	0.210141849359874	2.57628928349297	2.83776129657179	2.97428522642628	3.1186137371951	3.40792265487535	4522.02070917276	1.000823259982
intercept[15]	3.21257750620544	0.0037885419498522	0.251870247089781	2.74474688532509	3.03610508020922	3.20386997541831	3.37856788408926	3.72345063077149	4419.87040395525	1.00062160350583
intercept[16]	3.15368280310812	0.00289511317614276	0.216642364884219	2.7328525566065	3.00635432943589	3.1530600247104	3.3010177549154	3.58016239190648	5599.58296758779	1.00003094665062
intercept[17]	3.06320368969451	0.00291059242926941	0.217478666367682	2.65212836038773	2.91302847822305	3.05906331285296	3.21368951875745	3.48412349794827	5583.03732798054	0.999537498173597
intercept[18]	3.06702548148	0.00302604251788231	0.224556133023633	2.63430855381887	2.9110806928955	3.06194858125539	3.21912860619023	3.50603598904815	5506.80616710596	0.999308083494008
intercept[19]	3.88878613677794	0.00410250366376927	0.279292379106151	3.36099532914898	3.6972173716385	3.88704753729965	4.07468312765479	4.45219731452686	4634.68493126262	0.999241949238078
intercept[20]	2.38440069475427	0.00234643653129686	0.171855922910986	2.04320064596366	2.26768985647621	2.38495692118715	2.50201413003042	2.7216499017721	5364.27934770305	0.999490819915559
intercept[21]	3.31231667444041	0.00369144312662052	0.244732574339372	2.86776483270036	3.14270380333483	3.30701345883857	3.46271611594099	3.83323371762915	4395.32702828375	0.999672611741993
intercept[22]	2.87923633580491	0.00285454979049866	0.208398453724132	2.48130739375916	2.73737952787989	2.87677359388246	3.02636195083434	3.28811615095105	5329.83469200283	0.999683512016643
intercept[23]	2.97983453813153	0.00283161943774597	0.202137674964116	2.59160162397258	2.84143049846211	2.97840214580516	3.1122596070086	3.38751859881807	5095.94535458772	0.99977678268984
intercept[24]	3.88041367569897	0.00375909707107203	0.257656366727285	3.3793377660985	3.70720785509505	3.87958002457893	4.05051959497716	4.39791081706113	4698.01799082156	0.999766714187729
intercept[25]	3.43225834657255	0.00317027013511795	0.236136278701058	2.98774848213945	3.26969598721088	3.43071429379096	3.59098284603307	3.91256224856575	5547.95449977381	0.999848175203185
intercept[26]	3.67418188587979	0.00361552220997247	0.261196105277013	3.17337592121376	3.49204373061633	3.66702692783211	3.84993963315237	4.18502473937561	5219.04842193178	0.999461572889383
intercept[27]	2.88089606480011	0.00263290062801208	0.193881189667964	2.51233705004429	2.74512625925586	2.88026420821703	3.00730171113404	3.27146766153453	5422.53564639341	0.999979056749606
intercept[28]	2.8088291598709	0.00278019946922604	0.198024736617443	2.42563751230819	2.67325219864082	2.80773458079516	2.93979995402801	3.19880523554199	5073.2583224222	1.00091562647957
intercept[29]	3.06052424228587	0.00286840342215074	0.200655435443438	2.67285927706115	2.92472100732038	3.05928709444829	3.18733491185286	3.46521878297972	4893.52028861779	0.999381472178431
intercept[30]	3.45300783223878	0.00328632353591845	0.23489032611363	2.9979673074124	3.28876524960868	3.44688580987722	3.60728159937407	3.93317042333139	5108.69090966678	0.999521702572073
intercept[31]	3.31714139450115	0.00339568454567509	0.219545957680173	2.8877004700574	3.16970107975965	3.31420932657935	3.46050318776041	3.75885325505857	4180.19185025738	0.999631178841193
intercept[32]	3.04400440856853	0.00308952146277035	0.207541722527496	2.64363112100664	2.90640747738315	3.04111018931868	3.17880046049326	3.46555739545737	4512.61622599056	0.999747622424339
intercept[33]	3.3168557072603	0.00337562078267898	0.231427225654248	2.86357075180318	3.16165333843848	3.31372505649963	3.46535801142135	3.78188127794812	4700.25688281167	0.999200126834241
intercept[34]	2.71419508320211	0.00245145056225879	0.181122441773367	2.35947907855006	2.59594936845802	2.71203212385813	2.8315907763323	3.08477078076141	5458.81341427375	0.999728494537869
intercept[35]	3.02345466193966	0.00305901060371192	0.206848100929274	2.61677201174308	2.88338904912467	3.02138748825078	3.16066535512925	3.43770638744131	4572.36731039248	1.00023554633352
intercept[36]	2.66229461745214	0.00295941582531833	0.187283866356145	2.30015464890773	2.53582566193257	2.66064572226944	2.78342967998226	3.03841326504103	4004.87300715105	1.00180957126409
intercept[37]	2.79028734602947	0.00260356716191343	0.193764903736427	2.41758178648151	2.65940626171339	2.78973186424611	2.92041685150897	3.15943762852885	5538.76148141963	0.999419541244118
intercept[38]	2.61608192604648	0.0027062494920222	0.190713442674576	2.25131634462645	2.48321597864018	2.6103585497535	2.74623230709098	2.99294075136262	4966.23135383921	0.999246876340175
intercept[39]	4.10545003846317	0.00459114894419206	0.287454324304407	3.56195535009202	3.90976368148463	4.09873167745924	4.29902255712165	4.68411859688	3920.07998332959	0.999897151802858
intercept[40]	3.21890235286959	0.00290125959560334	0.215600533739596	2.79617104392955	3.0703208455835	3.21480896472762	3.36728455168922	3.6459887906446	5522.38249329152	0.999148313845
intercept[41]	4.16228199900012	0.00439848835236545	0.291344651347969	3.59862002201937	3.9623609902743	4.15517317914922	4.35767726583337	4.75554251297586	4387.39975336548	0.999860020406308
intercept[42]	2.77340942049276	0.00267399770527491	0.187811359633694	2.41709341345091	2.64598534281055	2.77009617710256	2.89608190268121	3.1544608402112	4933.11969322749	1.00041916456497
mu_int	3.19546632895273	0.001532012198794	0.0657654076200208	3.0681275773541	3.15042985657352	3.19397445203469	3.24075354802393	3.32473739390013	1842.76767593033	1.00133859590603
sigma_int	0.512197047907771	0.000723623498437317	0.0396816271176796	0.435186614597814	0.485331911451101	0.511602127603188	0.538724482635188	0.591634089134847	3007.13981499699	0.999445250559791
slope1[1]	0.0796256179880572	0.00064068708994755	0.0485241099612521	-0.0222619867583609	0.0496700209251332	0.0825170275341798	0.111008325715329	0.170589203829411	5736.18580748453	1.00032724093465
slope1[2]	0.119907486680757	0.000637769328255855	0.0487404475431671	0.0324150265750239	0.087722085962203	0.115045310097833	0.149682169669478	0.225687306771819	5840.5233805618	0.999662368219006
slope1[3]	0.111111658148487	0.000616505959597784	0.0485382936631981	0.0192585054098706	0.0804372640763727	0.108439763591334	0.138624199138707	0.216962810676715	6198.61198225572	0.999722829788581
slope1[4]	0.120928018623547	0.000679111270741942	0.0494252167519805	0.0336083719708635	0.0880040932789858	0.116467233789677	0.149354967215036	0.228925901900723	5296.82090256824	1.00030243965374
slope1[5]	0.0946470554635622	0.000580726520211171	0.0466220957257621	0.00247056062837514	0.065654082631296	0.0949474568743471	0.122950262385398	0.187724634503746	6445.2573737917	0.999730712534426
slope1[6]	0.10256108791811	0.000574757284308451	0.0456470284087791	0.0136775312532176	0.0740454113523025	0.101210465027724	0.13030513810926	0.194282173856653	6307.48247921372	1.00038687778778
slope1[7]	0.0961534256650649	0.000544984765340355	0.0474393345791258	0.000605172405605852	0.0676288608247363	0.0954882367087875	0.124114736851197	0.191529565260839	7577.19481112426	0.999314418587118
slope1[8]	0.0946735222379845	0.000557900536962069	0.0491272319337937	-0.00331419904198507	0.0643177706707167	0.0945523532053122	0.124411829301012	0.191042284292938	7754.0934435474	0.999437872012005
slope1[9]	0.104760377199198	0.000537008556315473	0.047804706366213	0.0114306611558715	0.0744964715262414	0.104206847481709	0.132111263431679	0.210154229735392	7924.6282608201	0.999707700600767
slope1[10]	0.104344715679852	0.000601924889613816	0.0478557697695742	0.0130638385724553	0.0737035146787417	0.102624282559131	0.133753916914078	0.206324647490531	6320.97407486142	1.00015493767313
slope1[11]	0.105455160855884	0.00059058021295565	0.0473348963524771	0.0147051193114814	0.0773235260125794	0.103066875550757	0.132939183435738	0.203863778005107	6423.99326291812	0.999613245085827
slope1[12]	0.0950107645151451	0.000668076025540849	0.0496071203767627	-0.00446706936074263	0.0650852423809945	0.0957347075173161	0.125445971025636	0.194633290431649	5513.61276372932	0.999334707507519
slope1[13]	0.0944066877420564	0.00058242697750606	0.0487572347202233	-0.00494175204618948	0.065126959948952	0.0939464484368298	0.124361913537555	0.193779427825641	7008.01733147071	0.999937970171026
slope1[14]	0.0925018128850422	0.000542675878096433	0.0479608338401134	-0.00469789252380492	0.0630947171289559	0.0935520482130696	0.122147508256861	0.18949437022313	7810.74419726888	0.999675337903315
slope1[15]	0.0991648674763922	0.000602363534574957	0.04936260599495	0.00148330505641076	0.0698742423123841	0.0987572051552672	0.127887301980001	0.202649328631548	6715.50709983812	0.999689733296245
slope1[16]	0.077525212225322	0.000595777706083223	0.0494060425985879	-0.0299063926118365	0.0484260311324566	0.0812512981523251	0.109150291411006	0.17000353141797	6876.88308818637	0.999547909227691
slope1[17]	0.0894840246633911	0.000630343974407538	0.0483017347621925	-0.0122401271834198	0.0613909013603839	0.0910714801028894	0.120066343314323	0.18233705374027	5871.78636573212	0.999451252244999
slope1[18]	0.104007766335993	0.000580312520759991	0.0471304714798066	0.0122259673720239	0.0745496030049072	0.102665518231004	0.131927217574284	0.199504606455131	6595.985416554	0.999104174498894
slope1[19]	0.0909284136486222	0.000659627476591072	0.0484627388250197	-0.00989687956339336	0.0623041530752736	0.0926727847612976	0.120680026856008	0.18821002026075	5397.82043260978	0.999482633744002
slope1[20]	0.098808703705392	0.000562681731132204	0.0460221385028137	0.00478105231644671	0.0711496715012388	0.0988795170949023	0.127279778123838	0.190279445972578	6689.72030320409	0.999314738529789
slope1[21]	0.0823379343321855	0.000601539037577406	0.0490300442994691	-0.0208009139066847	0.053525500129509	0.0847054097113733	0.113228657485563	0.177610742774427	6643.49997953739	0.99957940452024
slope1[22]	0.0885572813644625	0.000611865279171034	0.0468416789075008	-0.00997710635749622	0.0598135287113113	0.0903285908240947	0.117318766775201	0.180649545672794	5860.75121850528	1.00036671613117
slope1[23]	0.0836555630539196	0.000616465068216234	0.0498141031647278	-0.0234418882947825	0.0556692076000158	0.0859961878492222	0.115491613772184	0.177886021635715	6529.61667823993	0.999649179394383
slope1[24]	0.120186320472259	0.000676034637687739	0.0500515724206809	0.0317344583855773	0.0860160306169563	0.116317311182882	0.150005531565158	0.233405686638407	5481.4764819582	0.999540739836577
slope1[25]	0.0822971623478541	0.000636193622737159	0.0496080306853031	-0.0251026955287629	0.0540422017329194	0.084850614219196	0.114237480825914	0.175672679421087	6080.30480814252	0.999725827859183
