mean	se_mean	sd	2.5%	25%	50%	75%	97.5%	n_eff	Rhat
slope[25]	0.092851393324113	0.00066820945767498	0.0486144643358847	-0.0117079987538359	0.0629877151229994	0.0956245049336706	0.123728504452179	0.180407808400487	5293.04727706056	0.999552092077579
slope[26]	0.104212721550542	0.000621123204530602	0.0482189339619658	0.0022088322932743	0.0761701370042095	0.103984884184321	0.132911695594229	0.200616519153653	6026.70176376553	0.999928012626989
slope[27]	0.114503449032088	0.000659933215361031	0.0468642128722236	0.0227105643634993	0.0849369773419396	0.113484911211421	0.143882457546817	0.2086994661037	5042.92697088168	0.999330370510123
slope[28]	0.136021065911113	0.000661713697101248	0.0505279768985286	0.0455201902600737	0.102076243042428	0.131084725360099	0.165519202551922	0.250489666738984	5830.73858549019	0.999611603532793
slope[29]	0.087505565544144	0.000695547467309161	0.0484487738050925	-0.0187708476308295	0.0597361971699992	0.0907451298485283	0.118035828889065	0.174747470060844	4851.90213891446	0.999677115914033
slope[30]	0.121247159292649	0.000597744095640108	0.0480790594149443	0.0268163636186115	0.090720270106219	0.119865943155109	0.149505522533312	0.221185643401586	6469.65818216526	0.999551502896609
slope[31]	0.112391885815494	0.00061958023679709	0.0467153432281218	0.0188674063738658	0.0827953673205236	0.111975066272984	0.141031154129587	0.2071887847827	5684.91499925039	0.999722473229996
slope[32]	0.0995262443884549	0.000642999698525898	0.0469043348501463	-0.000804707261530953	0.0701473947235093	0.101215788427299	0.130319965798618	0.190835127951398	5321.13680457806	0.999973669316087
slope[33]	0.11808413507601	0.000605768178493775	0.0469765888692662	0.0314063248208665	0.0880457673704898	0.115900102706988	0.146145036855182	0.218532989551941	6013.8147297324	1.00044001431205
slope[34]	0.0705457849047854	0.000761360226425674	0.0508820262312733	-0.0420670808175907	0.0396179594914518	0.0750841739186962	0.105146331127193	0.158364963738196	4466.30548117156	0.99972740394238
slope[35]	0.123916517429554	0.0006360453787925	0.047274469844685	0.0364981853363064	0.0928826491360787	0.121202386490371	0.151426246676243	0.226082322486976	5524.29842356549	1.00003494673031
slope[36]	0.111715652619522	0.000653236448397758	0.0473955876726233	0.0157183724413055	0.082521971747715	0.111436129687446	0.141180752089486	0.207329949899548	5264.23183672993	0.999785323056342
